episode,reward,pdr
668,14.5,1
669,19.5,1
670,17.0,1
671,14.5,1
672,14.5,1
673,17.0,1
674,-3.0,0
675,17.0,1
676,14.5,1
677,14.5,1
678,19.5,1
679,14.5,1
680,17.0,1
681,14.5,1
682,19.5,1
683,17.0,1
684,9.5,1
685,19.5,1
686,14.5,1
687,17.0,1
688,17.0,1
689,17.0,1
690,17.0,1
691,12.0,1
692,14.5,1
693,17.0,1
694,17.0,1
695,17.0,1
696,17.0,1
697,17.0,1
698,14.5,1
699,-8.0,0
700,17.0,1
701,19.5,1
702,17.0,1
703,17.0,1
704,14.5,1
705,-3.0,0
706,17.0,1
707,14.5,1
708,17.0,1
709,14.5,1
710,19.5,1
711,17.0,1
712,19.5,1
713,14.5,1
714,17.0,1
715,17.0,1
716,19.5,1
717,14.5,1
718,17.0,1
719,7.0,1
720,4.5,1
721,19.5,1
722,17.0,1
723,12.0,1
724,9.5,1
725,-18.0,0
726,14.5,1
727,19.5,1
728,17.0,1
729,17.0,1
730,9.5,1
731,17.0,1
732,14.5,1
733,17.0,1
734,-5.5,0
735,19.5,1
736,14.5,1
737,14.5,1
738,17.0,1
739,19.5,1
740,17.0,1
741,17.0,1
742,17.0,1
743,17.0,1
744,19.5,1
745,17.0,1
746,17.0,1
747,17.0,1
748,17.0,1
749,17.0,1
750,4.5,1
751,19.5,1
752,17.0,1
753,19.5,1
754,14.5,1
755,17.0,1
756,17.0,1
757,14.5,1
758,4.5,1
759,19.5,1
760,17.0,1
761,12.0,1
762,17.0,1
763,19.5,1
764,17.0,1
765,12.0,1
766,17.0,1
767,12.0,1
768,14.5,1
769,14.5,1
770,14.5,1
771,14.5,1
772,17.0,1
773,19.5,1
774,17.0,1
775,17.0,1
776,17.0,1
777,17.0,1
778,17.0,1
779,17.0,1
780,17.0,1
781,14.5,1
782,19.5,1
783,17.0,1
784,14.5,1
785,17.0,1
786,12.0,1
787,-0.5,0
788,12.0,1
789,14.5,1
790,14.5,1
791,17.0,1
792,19.5,1
793,17.0,1
794,-0.5,0
795,17.0,1
796,17.0,1
797,17.0,1
798,14.5,1
799,-15.5,0
800,14.5,1
801,17.0,1
802,17.0,1
803,17.0,1
804,17.0,1
805,14.5,1
806,17.0,1
807,7.0,1
808,17.0,1
809,17.0,1
810,-3.0,0
811,14.5,1
812,14.5,1
813,17.0,1
814,17.0,1
815,-25.5,0
816,17.0,1
817,17.0,1
818,14.5,1
819,19.5,1
820,17.0,1
821,17.0,1
822,17.0,1
823,9.5,1
824,19.5,1
825,17.0,1
826,12.0,1
827,17.0,1
828,17.0,1
829,14.5,1
830,17.0,1
831,14.5,1
832,-5.5,0
833,17.0,1
834,17.0,1
835,2.0,1
836,2.0,1
837,17.0,1
838,14.5,1
839,17.0,1
840,19.5,1
841,17.0,1
842,17.0,1
843,-15.5,0
844,19.5,1
845,9.5,1
846,17.0,1
847,19.5,1
848,19.5,1
849,14.5,1
850,14.5,1
851,14.5,1
852,14.5,1
853,17.0,1
854,14.5,1
855,14.5,1
856,12.0,1
857,2.0,1
858,14.5,1
859,14.5,1
860,17.0,1
861,14.5,1
862,17.0,1
863,14.5,1
864,17.0,1
865,17.0,1
866,17.0,1
867,14.5,1
868,2.0,1
869,17.0,1
870,12.0,1
871,17.0,1
872,9.5,1
873,17.0,1
874,19.5,1
875,14.5,1
876,17.0,1
877,17.0,1
878,19.5,1
879,-5.5,0
880,17.0,1
881,-5.5,0
882,14.5,1
883,14.5,1
884,17.0,1
885,14.5,1
886,14.5,1
887,17.0,1
888,14.5,1
889,14.5,1
890,17.0,1
891,17.0,1
892,-0.5,0
893,14.5,1
894,12.0,1
895,14.5,1
896,14.5,1
897,19.5,1
898,14.5,1
899,17.0,1
900,-0.5,0
901,14.5,1
902,17.0,1
903,-13.0,0
904,9.5,1
905,14.5,1
906,17.0,1
907,17.0,1
908,17.0,1
909,4.5,1
910,17.0,1
911,17.0,1
912,14.5,1
913,17.0,1
914,14.5,1
915,19.5,1
916,17.0,1
917,17.0,1
918,17.0,1
919,17.0,1
920,17.0,1
921,17.0,1
922,14.5,1
