delivered,hops,delay
True,26,121.86999999999999
True,9,22.41
True,10,40.88
True,16,46.2
False,24,92.78
False,30,136.82000000000002
False,12,33.440000000000005
False,42,210.95
True,17,52.43
True,14,48.260000000000005
True,29,120.99
True,31,136.17000000000002
False,45,214.75000000000003
True,31,125.98999999999998
False,38,158.97
False,19,74.13
True,2,5.32
False,24,107.39
False,37,158.47000000000003
True,10,32.05
False,24,99.28999999999999
True,5,17.86
True,26,117.57000000000002
True,13,63.42
False,28,115.50999999999999
False,34,145.51000000000002
True,31,120.36
True,13,44.269999999999996
True,26,118.82
True,21,86.37
False,30,115.92999999999998
True,16,60.629999999999995
False,26,111.59
True,3,9.83
False,25,101.02
True,21,87.66000000000001
True,20,66.42
False,27,111.97
False,36,156.79999999999998
True,41,183.1
True,1,2.91
True,12,51.67
False,29,125.59000000000002
False,34,150.62
True,28,118.64999999999998
False,39,186.56
True,11,37.97
True,9,26.64
True,16,54.730000000000004
True,26,93.04999999999998
True,12,44.2
True,11,38.09
True,19,67.42999999999999
True,16,40.94
True,6,15.180000000000001
True,3,6.75
False,17,69.46
True,23,84.92999999999999
False,29,98.53
False,31,127.75999999999999
True,5,9.65
True,10,32.17
False,42,171.07999999999996
True,26,104.28000000000002
True,27,123.57000000000001
True,9,41.59
True,5,12.370000000000001
False,34,125.92
False,16,70.36000000000001
True,29,109.50000000000001
True,29,115.95
False,6,21.36
False,39,176.72
True,3,12.2
False,32,125.29
True,44,212.54999999999998
True,33,126.84
True,8,32.290000000000006
True,34,125.71
False,38,162.29999999999998
True,30,99.43999999999998
True,3,8.64
True,7,21.320000000000004
True,25,92.44999999999999
True,31,153.93000000000004
True,3,6.1000000000000005
False,29,128.69
True,3,8.73
True,29,98.07999999999998
True,18,61.329999999999984
False,37,177.0
True,1,4.23
True,16,69.46
False,32,129.27
True,27,103.94999999999999
False,25,81.55999999999999
True,20,76.47999999999999
True,26,104.35
True,9,40.28
True,28,107.66
True,13,39.39
True,5,18.580000000000002
False,43,195.52999999999994
False,43,200.88
True,17,72.47999999999999
True,21,79.86999999999999
False,37,140.75000000000003
True,20,72.39000000000001
True,27,127.17
True,34,158.88
True,21,86.86
True,21,83.11
False,34,166.01000000000005
True,1,1.88
True,10,40.39
False,31,107.28
False,12,51.400000000000006
True,38,195.56999999999996
True,7,18.859999999999996
True,5,12.23
True,30,112.70999999999997
False,32,126.82
True,16,59.6
False,22,82.89000000000001
True,31,108.89999999999998
False,19,69.33
False,20,65.16
False,37,157.35
True,2,7.66
True,13,47.22
True,15,65.99
True,32,125.64000000000001
True,25,87.08
True,31,119.26
False,14,55.75
False,36,150.89999999999998
False,35,139.15
True,2,5.37
False,34,126.86999999999999
False,38,161.92999999999995
False,17,49.44
True,15,67.03
False,43,187.92
True,34,148.88
True,28,107.29
False,31,148.59
True,18,87.08000000000001
True,8,31.82
True,17,69.01
False,19,57.60999999999999
True,23,87.00999999999999
False,35,169.73999999999998
True,5,18.03
True,9,16.05
True,17,49.980000000000004
True,8,30.35
True,26,87.14999999999999
False,35,141.71
True,1,1.41
False,34,131.14000000000001
False,32,128.04999999999998
False,29,132.70999999999998
True,2,6.3
True,1,4.76
True,22,84.51
True,24,103.43
True,30,101.38000000000001
False,40,173.21
True,23,96.5
True,41,162.29
False,38,166.67999999999998
True,20,73.13
True,24,92.57
True,32,143.31
True,8,19.080000000000002
True,4,11.979999999999999
True,23,88.16999999999997
True,33,139.38
True,11,32.54
False,33,126.59999999999998
True,20,76.57
True,11,51.91
False,32,137.11
True,34,138.99
False,31,130.88000000000002
True,9,36.230000000000004
True,6,22.61
True,23,104.13
False,19,78.29
False,28,115.84999999999998
False,31,120.83999999999997
True,6,14.850000000000001
True,6,27.2
True,19,70.08999999999999
True,44,171.45
True,17,41.69
False,24,95.47000000000001
False,30,105.03999999999998
True,10,25.44
True,21,83.00000000000001
True,23,119.91
True,19,78.64
True,3,10.88
True,26,105.00999999999998
True,28,130.56
False,22,77.52999999999999
False,21,82.85
True,31,135.89000000000001
False,36,157.54999999999998
False,22,71.18
False,30,138.17999999999998
True,10,34.68
True,9,26.9
False,34,144.95999999999998
True,16,59.98
True,29,145.09
False,35,147.88999999999996
True,16,70.36999999999999
False,28,113.32
True,16,73.49
True,5,18.75
True,34,141.49999999999997
True,31,138.91999999999993
False,44,186.08
True,21,76.74
False,26,124.55
False,22,95.14
True,45,184.0
True,22,86.71000000000001
True,4,11.31
True,19,75.02
False,19,82.56
False,30,134.45999999999998
True,8,22.14
True,25,114.72999999999999
True,15,50.529999999999994
True,25,78.35000000000001
True,9,35.0
True,29,127.16
True,30,113.22
False,25,77.34
False,24,99.31
True,7,29.36
True,5,16.21
True,23,79.58999999999999
True,4,11.59
True,15,54.97
True,6,16.62
True,40,203.71000000000006
True,17,64.83999999999999
True,31,131.73000000000005
True,1,2.26
True,33,134.60999999999999
True,26,104.03
True,19,66.48000000000002
False,25,89.83999999999999
True,11,34.91
False,39,185.75
True,38,182.18000000000004
True,34,160.25
True,23,93.35
False,28,114.25999999999999
True,38,175.76
True,5,17.19
True,5,13.629999999999999
False,33,143.40999999999997
True,5,14.3
True,36,141.57999999999998
True,1,1.81
True,22,86.13999999999999
False,21,97.79000000000002
False,20,74.74
True,33,117.74999999999999
True,23,80.95
True,41,184.52
True,4,8.6
True,15,67.2
False,20,75.39
True,1,1.37
True,19,69.4
False,29,130.33999999999997
True,6,22.52
True,11,31.110000000000007
True,27,107.33999999999999
False,24,100.28000000000002
True,12,34.24
True,10,31.27
True,31,120.12000000000002
True,29,87.94000000000001
False,29,101.89000000000001
True,31,145.40999999999997
False,30,130.95
False,38,170.73000000000002
True,8,26.08
False,26,91.88000000000002
True,18,72.89
False,41,152.35999999999996
True,17,63.52
False,12,48.52
False,28,112.13
True,33,125.13999999999997
True,14,55.53
True,11,37.52
True,7,16.19
False,39,174.43
False,24,75.85999999999999
True,3,10.139999999999999
True,13,42.38
True,12,42.13000000000001
True,22,68.85
True,2,5.140000000000001
False,37,154.12000000000003
False,22,93.64
False,32,124.46
True,17,70.84000000000002
False,33,144.83
True,11,46.99000000000001
True,24,93.96999999999998
False,25,111.17000000000003
True,29,120.49000000000001
True,23,88.82999999999998
True,12,44.7
True,40,167.1
False,37,169.22
True,32,127.97
True,25,100.50999999999999
False,46,184.37999999999994
False,26,110.75999999999999
False,33,146.71999999999997
False,39,163.05
False,23,85.90000000000002
True,32,130.49999999999997
False,27,100.02
True,27,114.11000000000001
True,10,57.19
True,9,33.18
True,26,101.88000000000001
False,12,33.830000000000005
True,22,71.94000000000001
True,14,60.63999999999999
True,16,46.98000000000002
True,6,16.69
True,28,119.42999999999998
True,30,133.44
True,5,22.06
True,23,81.63
True,24,95.33
False,43,209.95000000000002
False,34,143.98
False,42,206.1
False,11,43.489999999999995
True,10,44.53
True,10,26.1
False,29,118.94999999999999
False,33,128.26000000000002
True,32,143.48000000000002
True,10,29.83
True,23,68.52
True,35,175.07999999999998
False,35,148.21
True,33,153.42
True,22,64.81
False,34,151.31
True,10,24.42
True,17,56.25000000000001
False,29,119.36
True,8,29.169999999999995
True,36,134.81
True,31,126.18
True,25,102.77999999999999
True,19,65.22
True,11,41.21000000000001
True,19,90.58
False,23,77.88000000000001
